Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Mar 27 2017,8:00 pm,Cleveland Cavaliers,74,San Antonio Spurs,103,Box Score,,18418,
Mon Mar 27 2017,7:30 pm,Orlando Magic,112,Toronto Raptors,131,Box Score,,19800,
Mon Mar 27 2017,10:30 pm,New Orleans Pelicans,100,Utah Jazz,108,Box Score,,18924,
Tue Mar 28 2017,7:30 pm,Phoenix Suns,91,Atlanta Hawks,95,Box Score,,13412,
Tue Mar 28 2017,7:30 pm,Philadelphia 76ers,106,Brooklyn Nets,101,Box Score,,15471,
Tue Mar 28 2017,7:00 pm,Milwaukee Bucks,118,Charlotte Hornets,108,Box Score,,16505,
Tue Mar 28 2017,7:30 pm,Miami Heat,97,Detroit Pistons,96,Box Score,,17160,
Tue Mar 28 2017,8:00 pm,Golden State Warriors,113,Houston Rockets,106,Box Score,,18055,
Tue Mar 28 2017,7:00 pm,Minnesota Timberwolves,115,Indiana Pacers,114,Box Score,,17534,
Tue Mar 28 2017,10:30 pm,Washington Wizards,119,Los Angeles Lakers,108,Box Score,,18997,
Tue Mar 28 2017,10:00 pm,Denver Nuggets,113,Portland Trail Blazers,122,Box Score,,20003,
Wed Mar 29 2017,7:30 pm,Milwaukee Bucks,103,Boston Celtics,100,Box Score,,18624,
Wed Mar 29 2017,10:30 pm,Washington Wizards,124,Los Angeles Clippers,133,Box Score,,19060,
Wed Mar 29 2017,8:00 pm,Indiana Pacers,97,Memphis Grizzlies,110,Box Score,,16367,
Wed Mar 29 2017,8:00 pm,Dallas Mavericks,118,New Orleans Pelicans,121,Box Score,,16000,
Wed Mar 29 2017,7:30 pm,Miami Heat,105,New York Knicks,88,Box Score,,19812,
Wed Mar 29 2017,7:00 pm,Oklahoma City Thunder,114,Orlando Magic,106,Box Score,OT,18408,
Wed Mar 29 2017,7:00 pm,Atlanta Hawks,99,Philadelphia 76ers,92,Box Score,,15212,
Wed Mar 29 2017,10:30 pm,Utah Jazz,112,Sacramento Kings,82,Box Score,,17608,
Wed Mar 29 2017,9:30 pm,Golden State Warriors,110,San Antonio Spurs,98,Box Score,,18418,
Wed Mar 29 2017,7:30 pm,Charlotte Hornets,110,Toronto Raptors,106,Box Score,,19800,
Thu Mar 30 2017,8:00 pm,Cleveland Cavaliers,93,Chicago Bulls,99,Box Score,,22282,
Thu Mar 30 2017,7:30 pm,Brooklyn Nets,89,Detroit Pistons,90,Box Score,,15804,
Thu Mar 30 2017,8:00 pm,Los Angeles Lakers,104,Minnesota Timberwolves,119,Box Score,,18179,
Thu Mar 30 2017,10:00 pm,Los Angeles Clippers,124,Phoenix Suns,118,Box Score,,16736,
Thu Mar 30 2017,10:30 pm,Houston Rockets,107,Portland Trail Blazers,117,Box Score,,20049,
Fri Mar 31 2017,7:30 pm,Orlando Magic,116,Boston Celtics,117,Box Score,,18624,
Fri Mar 31 2017,7:00 pm,Denver Nuggets,114,Charlotte Hornets,122,Box Score,,18353,
Fri Mar 31 2017,7:30 pm,Philadelphia 76ers,105,Cleveland Cavaliers,122,Box Score,,20562,
Fri Mar 31 2017,10:30 pm,Houston Rockets,98,Golden State Warriors,107,Box Score,,19596,
Fri Mar 31 2017,8:00 pm,Dallas Mavericks,90,Memphis Grizzlies,99,Box Score,,17317,
Fri Mar 31 2017,8:00 pm,New York Knicks,98,Miami Heat,94,Box Score,,19600,
Fri Mar 31 2017,8:00 pm,Detroit Pistons,105,Milwaukee Bucks,108,Box Score,OT,18717,
Fri Mar 31 2017,8:00 pm,Sacramento Kings,89,New Orleans Pelicans,117,Box Score,,17304,
Fri Mar 31 2017,8:00 pm,San Antonio Spurs,100,Oklahoma City Thunder,95,Box Score,,18203,
Fri Mar 31 2017,7:00 pm,Indiana Pacers,100,Toronto Raptors,111,Box Score,,19800,
Fri Mar 31 2017,9:00 pm,Washington Wizards,88,Utah Jazz,95,Box Score,,19911,
